City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
East London,-33.0153,27.9116,78.8,78,40,16.11,ZA,1616068682
Yellowknife,62.456,-114.3525,12.2,85,1,10.36,CA,1616068682
Bambanglipuro,-7.95,110.2833,79.61,85,100,3.74,ID,1616068683
Barra Patuca,15.8,-84.2833,75.6,90,100,7.56,HN,1616068684
Stornoway,58.2093,-6.3865,51.01,87,75,16.11,GB,1616068684
Pringsewu,-5.3582,104.9744,75.79,93,83,4.23,ID,1616068685
Mount Isa,-20.7333,139.5,86.0,28,83,8.05,AU,1616068686
São João da Barra,-21.6403,-41.0511,80.6,74,0,4.61,BR,1616068687
Yurla,59.3259,54.3223,27.93,90,100,9.84,RU,1616068689
Cape Town,-33.9258,18.4232,75.0,68,20,13.8,ZA,1616068569
Road Town,18.4167,-64.6167,78.8,57,40,11.5,VG,1616068689
Le Port,-20.9373,55.2919,84.2,65,75,19.57,RE,1616068690
Assiut,27.181,31.1837,75.2,27,0,13.8,EG,1616068691
Saint Paul Harbor,57.79,-152.4072,33.8,47,75,17.27,US,1616068612
Nova Olímpia,-14.7972,-57.2881,74.26,95,100,0.94,BR,1616068692
New Norfolk,-42.7826,147.0587,61.0,65,0,1.05,AU,1616068693
Kavieng,-2.5744,150.7967,82.99,73,41,6.42,PG,1616068559
Phuket,8.0,98.25,84.2,70,20,6.91,TH,1616068694
Brazzaville,-4.2658,15.2832,87.8,62,75,5.75,CG,1616068694
Riyadh,24.6877,46.7219,98.6,7,0,17.27,SA,1616068608
Shingū,33.7333,135.9833,50.95,70,0,4.27,JP,1616068696
Nizhniy Tsasuchey,50.5167,115.1333,20.84,83,100,3.71,RU,1616068696
Shelburne,44.0787,-80.2041,33.01,95,100,13.27,CA,1616068697
Calumboyan,10.7917,124.0267,84.2,74,40,2.3,PH,1616068698
Norman Wells,65.282,-126.8329,-4.0,84,75,4.61,CA,1616068699
Itupiranga,-5.1347,-49.3267,75.2,100,90,3.44,BR,1616068699
Qaanaaq,77.484,-69.3632,-15.56,90,5,8.9,GL,1616068700
Srednekolymsk,67.45,153.6833,-9.69,93,80,5.26,RU,1616068578
Camacha,33.0833,-16.3333,64.4,72,20,18.41,PT,1616068701
Constitución,-35.3333,-72.4167,54.45,86,54,2.13,CL,1616068586
Bam,29.106,58.357,86.56,11,3,5.08,IR,1616068703
Barrow,71.2906,-156.7887,-7.6,84,90,6.91,US,1616068703
Avarua,-21.2078,-159.775,78.8,78,40,11.5,CK,1616068704
Ust-Kuyga,70.0167,135.6,-26.79,85,68,6.73,RU,1616068705
Sainte-Anne-des-Monts,49.124,-66.4924,39.2,41,98,1.14,CA,1616068705
Faanui,-16.4833,-151.75,82.0,72,5,8.32,PF,1616068706
Ostrovnoy,68.0531,39.5131,17.69,91,49,16.17,RU,1616068707
Criciova,45.6333,22.0667,37.99,100,90,13.8,RO,1616068707
Hilo,19.7297,-155.09,68.0,83,90,5.75,US,1616068708
Ponta do Sol,32.6667,-17.1,69.8,40,20,16.11,PT,1616068709
Lüderitz,-26.6481,15.1594,71.83,62,0,18.43,NA,1616068710
Port Elizabeth,-33.918,25.5701,77.0,78,20,16.11,ZA,1616068711
La Ronge,55.1001,-105.2842,26.6,80,18,4.61,CA,1616068711
Letnica,51.8981,15.333,39.0,43,73,6.85,PL,1616068712
Longyearbyen,78.2186,15.6401,17.6,73,75,9.22,SJ,1616068713
Harper,4.375,-7.7169,80.26,81,100,3.69,LR,1616068714
Sittwe,20.15,92.9,80.42,68,76,14.34,MM,1616068580
Mar del Plata,-38.0023,-57.5575,55.99,87,75,5.75,AR,1616068523
Estelle,29.8458,-90.1067,59.0,72,1,6.91,US,1616068643
Cabedelo,-6.9811,-34.8339,73.4,100,90,11.5,BR,1616068716
San Patricio,28.017,-97.5169,52.0,61,1,5.75,US,1616068717
Paamiut,61.994,-49.6678,23.07,74,100,8.1,GL,1616068662
Fortuna,40.5982,-124.1573,52.0,93,90,24.16,US,1616068718
Hithadhoo,-0.6,73.0833,84.31,67,97,8.05,MV,1616068719
Palu,-0.8917,119.8707,77.74,95,70,0.2,ID,1616068720
Upernavik,72.7868,-56.1549,-8.1,95,100,11.01,GL,1616068721
Berlevåg,70.8578,29.0864,24.8,80,90,20.71,NO,1616068722
Cherskiy,68.75,161.3,-16.65,80,51,2.39,RU,1616068723
Atar,20.5169,-13.0499,92.16,6,0,4.88,MR,1616068597
Kruisfontein,-34.0033,24.7314,82.71,51,0,12.17,ZA,1616068724
Salalah,17.0151,54.0924,84.2,51,0,11.5,OM,1616068725
Teruel,40.6667,-0.6667,48.2,52,90,12.66,ES,1616068726
Bredasdorp,-34.5322,20.0403,82.4,47,0,11.5,ZA,1616068540
Labuhan,-6.8844,112.2051,81.99,76,100,6.82,ID,1616068727
Bambous Virieux,-20.3428,57.7575,84.2,61,40,11.5,MU,1616068656
Hibbing,47.4272,-92.9377,24.8,93,1,3.91,US,1616068728
Kapaa,22.0752,-159.319,72.0,88,90,26.46,US,1616068729
Kutum,14.2,24.6667,94.05,10,95,13.69,SD,1616068730
Vaini,-21.2,-175.2,73.4,94,20,2.3,TO,1616068730
Nikolskoye,59.7035,30.7861,30.2,69,90,13.42,RU,1616068731
Saldanha,-33.0117,17.9442,73.4,77,75,5.75,ZA,1616068732
Port Lincoln,-34.7333,135.8667,68.61,72,0,11.41,AU,1616068602
Cairns,-16.9167,145.7667,80.6,74,42,5.75,AU,1616068733
Ust'-Kut,56.7938,105.7672,15.26,92,100,3.36,RU,1616068733
Linhares,-19.3911,-40.0722,81.81,71,1,3.13,BR,1616068734
Meulaboh,4.1363,96.1285,81.3,75,72,2.75,ID,1616068735
Caravelas,-17.7125,-39.2481,80.42,75,12,2.42,BR,1616068557
Kavaratti,10.5669,72.642,84.24,65,98,5.99,IN,1616068628
Hermanus,-34.4187,19.2345,77.0,63,0,5.01,ZA,1616068736
Bagdarin,54.4333,113.6,13.69,87,100,1.28,RU,1616068669
Hong Kong,22.2855,114.1577,75.0,88,23,3.0,HK,1616068682
Kokologo,12.1897,-1.8856,95.0,10,0,6.91,BF,1616068739
Polyarny,69.1989,33.4478,24.8,74,75,11.18,RU,1616068739
Nanortalik,60.1432,-45.2371,28.63,76,100,6.58,GL,1616068605
Bengkulu,-3.8004,102.2655,80.04,77,92,3.11,ID,1616068496
Puerto Escondido,15.85,-97.0667,73.69,62,0,4.25,MX,1616068561
South Lake Tahoe,38.9332,-119.9844,41.0,38,90,6.91,US,1616068741
Snyder,32.7179,-100.9176,37.4,65,1,6.91,US,1616068742
Kaitangata,-46.2817,169.8464,44.73,88,1,5.37,NZ,1616068638
Tambovka,50.0969,128.0489,28.4,46,0,4.47,RU,1616068743
São Filipe,14.8961,-24.4956,72.59,74,3,1.72,CV,1616068744
Mehamn,71.0357,27.8492,24.8,80,75,11.5,NO,1616068745
Kota Tinggi,1.7381,103.8999,80.6,83,20,4.41,MY,1616068746
Kirakira,-10.4544,161.9205,79.75,81,100,1.9,SB,1616068746
Flinders,-34.5833,150.8552,71.01,91,100,8.01,AU,1616068634
Kerman,30.2832,57.0788,77.0,15,20,11.5,IR,1616068748
Nacala,-14.5428,40.6728,86.0,70,75,6.91,MZ,1616068749
Chokurdakh,70.6333,147.9167,-38.34,94,61,7.2,RU,1616068750
Wanning,18.8003,110.3967,74.1,92,1,4.61,CN,1616068750
Iqaluit,63.7506,-68.5145,-20.0,69,40,11.5,CA,1616068751
Yulara,-25.2406,130.9889,78.8,18,67,5.75,AU,1616068752
Santa Isabel Rio Negro,-0.4139,-65.0192,75.36,82,100,1.83,BR,1616068754
Mt. Pleasant,32.7941,-79.8626,68.0,100,90,11.5,US,1616068754
Bocas del Toro,9.3333,-82.25,62.01,94,70,4.0,PA,1616068690
Bracebridge,45.0334,-79.3163,30.2,93,90,3.44,CA,1616068542
Codrington,-38.2667,141.9667,58.69,90,0,4.88,AU,1616068756
Coahuayana Viejo,18.7333,-103.6833,63.36,77,0,3.65,MX,1616068577
Altamont,42.2068,-121.7372,39.2,56,90,16.11,US,1616068757
Omboué,-1.5746,9.2618,82.38,71,78,8.95,GA,1616068758
Knysna,-34.0363,23.0471,78.8,57,0,5.75,ZA,1616068758
Melilla,35.2937,-2.9383,62.6,77,75,10.36,ES,1616068759
Bumba,2.1833,22.4667,86.76,50,92,4.9,CD,1616068760
Saskylakh,71.9167,114.0833,-21.93,96,89,5.01,RU,1616068760
San Cristobal,7.7669,-72.225,71.6,100,40,2.3,VE,1616068584
Sibolga,1.7427,98.7792,79.5,80,81,0.51,ID,1616068761
Archidona,37.0965,-4.3887,66.99,47,3,4.0,ES,1616068762
‘Ewa Beach,21.3156,-158.0072,71.6,73,1,6.91,US,1616068763
Kukuna,9.4,-12.6667,101.35,25,19,1.9,SL,1616068763
Chui,-33.6971,-53.4616,66.16,75,14,11.7,UY,1616068764
Camaná,-16.6228,-72.7111,71.85,78,99,8.1,PE,1616068765
Isangel,-19.55,169.2667,77.74,84,30,14.81,VU,1616068766
Sitka,57.0531,-135.33,33.8,80,90,2.15,US,1616068767
Manokwari,-0.8667,134.0833,79.93,81,82,3.71,ID,1616068767
Nayoro,44.3506,142.4578,26.89,86,98,2.66,JP,1616068768
Sangar,63.9242,127.4739,-22.74,96,25,3.87,RU,1616068769
Sørland,67.667,12.6934,33.8,64,0,19.57,NO,1616068770
Belmonte,-15.8631,-38.8828,80.6,78,40,3.44,BR,1616068771
Port-Gentil,-0.7193,8.7815,80.6,89,20,2.3,GA,1616068771
Port Hardy,50.6996,-127.4199,46.4,70,90,8.05,CA,1616068630
Corinth,37.9407,22.9573,57.99,39,10,15.99,GR,1616068772
Palmer,42.1584,-72.3287,39.99,57,99,5.82,US,1616068773
Grasse,43.6667,6.9167,53.6,47,75,6.91,FR,1616068626
Preobrazheniye,42.9019,133.9064,33.01,59,5,6.33,RU,1616068774
Daultala,33.1925,73.1413,79.0,34,80,3.0,PK,1616068775
Mandiana,10.6333,-8.6833,101.46,20,90,1.92,GN,1616068776
La Plaine,15.3333,-61.25,75.2,88,40,2.3,DM,1616068776
Chaiya,9.3862,99.1986,87.01,66,20,14.97,TH,1616068777
Saint-Marc-des-Carrieres,46.6834,-72.0491,33.8,93,100,2.3,CA,1616068778
Vestmannaeyjar,63.4427,-20.2734,46.4,93,90,12.66,IS,1616068778
Kamenka,51.3223,42.7678,33.01,86,100,0.81,RU,1616068779
Horsham,51.064,-0.3272,46.99,76,75,16.11,GB,1616068780
Viedma,-40.8135,-62.9967,53.38,54,21,7.09,AR,1616068781
Chicama,-7.8447,-79.1469,72.21,75,99,3.04,PE,1616068781
Camabatela,-8.1881,15.375,73.94,83,75,3.33,AO,1616068782
Biograd na Moru,43.9433,15.4519,48.2,31,20,11.5,HR,1616068783
Emerald,-23.5333,148.1667,77.0,88,40,5.75,AU,1616068784
Esim,4.8699,-2.2405,80.56,76,100,11.23,GH,1616068579
Sorochinsk,52.4338,53.1583,32.16,87,94,13.2,RU,1616068785
Mocuba,-16.8392,36.9856,81.84,85,39,3.91,MZ,1616068786
Santa Marta,11.2408,-74.199,80.01,73,72,11.01,CO,1616068786
Beringovskiy,63.05,179.3167,-17.0,88,4,5.23,RU,1616068787
Bellevue,47.6104,-122.2007,44.01,87,1,0.96,US,1616068788
Saint-Philippe,-21.3585,55.7679,80.6,78,75,8.05,RE,1616068789
Lavrentiya,65.5833,-171.0,-13.99,81,2,5.32,RU,1616068789
Pangoa,-12.1167,-73.0,68.83,99,99,2.01,PE,1616068790
Rothesay,55.8365,-5.0551,55.99,76,87,12.66,GB,1616068791
Fairbanks,64.8378,-147.7164,6.8,61,75,6.91,US,1616068670
Camopi,3.1655,-52.3158,75.96,81,93,3.78,GF,1616068792
Piripiri,-4.2733,-41.7769,79.95,79,85,3.65,BR,1616068527
Saint-François,46.4154,3.9054,44.01,65,90,10.36,FR,1616068793
Menongue,-14.6585,17.691,82.22,56,71,2.62,AO,1616068794
Paoua,7.2427,16.4406,91.94,32,88,8.95,CF,1616068794
Hualmay,-11.0964,-77.6139,70.2,85,63,7.23,PE,1616068689
Northam,51.0333,-4.2167,48.99,91,75,3.0,GB,1616068795
Saint-Augustin,51.226,-58.6502,13.75,80,80,3.02,CA,1616068796
Itainópolis,-7.4469,-41.4783,82.45,62,39,4.09,BR,1616068797
Río Gallegos,-51.6226,-69.2181,46.4,61,40,18.41,AR,1616068589
Kalemie,-5.9475,29.1947,81.9,62,29,5.61,CD,1616068798
Dromolaxia,34.8761,33.586,64.0,59,40,20.71,CY,1616068799
Lompoc,34.6391,-120.4579,46.4,93,90,2.93,US,1616068593
Tottori-shi,35.5,134.2333,46.4,76,20,10.36,JP,1616068800
Palembang,-2.9167,104.7458,84.2,74,75,6.91,ID,1616068801
Ilulissat,69.2167,-51.1,12.2,85,75,16.11,GL,1616068802
Padang,-0.9492,100.3543,77.0,88,40,5.75,ID,1616068803
Ancud,-41.8697,-73.8203,46.99,86,0,1.01,CL,1616068804
Kahului,20.8947,-156.47,73.4,78,20,11.92,US,1616068805
Neftçala,39.3742,49.2472,67.62,48,23,16.67,AZ,1616068808
Homer,59.6425,-151.5483,24.8,39,75,17.27,US,1616068810
Oron,4.8256,8.2343,88.29,59,100,8.99,NG,1616068813
Cidreira,-30.1811,-50.2056,70.57,83,30,10.18,BR,1616068815
Ixtapa,20.7,-105.2,60.01,94,1,2.93,MX,1616068816
Puerto Ayora,-0.7393,-90.3518,73.0,94,21,1.01,EC,1616068817
Gonbad-e Kāvūs,37.25,55.1672,87.8,37,40,6.91,IR,1616068818
Weida,50.7667,12.0667,43.0,61,99,4.68,DE,1616068819
Port Hedland,-20.3167,118.5667,86.0,51,27,12.66,AU,1616068820
Pilot Butte,50.4668,-104.4178,24.8,74,0,11.5,CA,1616068821
Anito,12.4497,125.2886,79.39,84,2,6.26,PH,1616068822
Majene,-3.5403,118.9707,80.64,81,30,8.1,ID,1616068823
Otofuke,42.9917,143.2003,32.0,80,20,10.36,JP,1616068823
Lima,-12.0432,-77.0282,68.0,88,0,3.44,PE,1616068659
Martinsburg,39.4562,-77.9639,46.0,93,90,4.61,US,1616068753
Souillac,-20.5167,57.5167,84.2,61,40,11.5,MU,1616068825
Lumeje,-11.55,20.7833,83.44,52,81,4.76,AO,1616068826
Corn Island,12.1694,-83.0418,79.79,81,78,16.75,NI,1616068827
Bundaberg,-24.85,152.35,75.99,94,85,5.75,AU,1616068651
Havelock,34.8791,-76.9013,55.4,100,90,3.44,US,1616068828
Vangaindrano,-23.35,47.6,82.92,65,72,8.72,MG,1616068829
Eureka,40.8021,-124.1637,53.6,54,90,20.71,US,1616068639
Ormstown,45.1334,-73.9992,36.0,100,100,5.75,CA,1616068830
Villarrica,-25.75,-56.4333,68.77,75,0,7.09,PY,1616068831
Klaksvík,62.2266,-6.589,44.6,100,75,10.36,FO,1616068832
Bonthe,7.5264,-12.505,86.76,47,72,5.5,SL,1616068833
Byron Bay,-28.65,153.6167,69.8,94,90,3.44,AU,1616068834
Pangnirtung,66.1451,-65.7125,-20.2,69,1,1.43,CA,1616068835
Xingcheng,40.6167,120.7167,40.86,35,22,2.73,CN,1616068836
Boca do Acre,-8.7522,-67.3978,74.91,90,100,0.67,BR,1616068837
Tura,25.5198,90.2201,76.28,22,0,0.76,IN,1616068837
Torbay,47.6666,-52.7314,26.01,86,90,9.22,CA,1616068641
Airai,-8.9266,125.4092,61.48,94,86,0.87,TL,1616068839
Leningradskiy,69.3833,178.4167,-20.47,87,33,5.79,RU,1616068839
Requena,39.4883,-1.1004,44.01,84,98,7.45,ES,1616068841
Sinnamary,5.3833,-52.95,78.69,74,84,9.71,GF,1616068842
Talnakh,69.4865,88.3972,-22.58,97,77,6.38,RU,1616068843
Marawi,7.9986,124.2928,81.0,88,57,5.01,PH,1616068844
Mahébourg,-20.4081,57.7,84.2,61,40,11.5,MU,1616068845
Surab,28.4914,66.2585,72.73,10,31,8.61,PK,1616068846
Kiryat Gat,31.61,34.7642,64.99,54,34,1.99,IL,1616068565
Bubaque,11.2833,-15.8333,73.08,59,4,4.52,GW,1616068660
Vardø,70.3705,31.1107,24.8,93,75,20.18,NO,1616068848
Sakakah,29.9697,40.2064,73.4,18,0,6.91,SA,1616068848
Kasongo,-4.45,26.6667,84.99,58,100,3.94,CD,1616068849
San Quintín,30.4833,-115.95,53.33,88,30,10.89,MX,1616068594
College,64.8569,-147.8028,6.8,61,75,6.91,US,1616068851
Kaélé,10.1092,14.4508,102.2,12,65,3.44,CM,1616068852
Huilong,31.8111,121.655,55.0,88,82,3.0,CN,1616068853
San Vicente,-26.6167,-54.1333,63.63,87,20,3.78,AR,1616068853
Videira,-27.0083,-51.1517,68.04,94,88,1.83,BR,1616068854
Skjervøy,70.0311,20.9714,28.4,64,40,3.44,NO,1616068677
Constantine,36.365,6.6147,53.6,50,40,6.91,DZ,1616068855
Ozubulu,5.9567,6.849,92.08,47,99,5.17,NG,1616068856
Prince Rupert,54.3161,-130.3201,42.8,93,90,5.75,CA,1616068604
Urubichá,-15.3833,-62.95,67.24,97,100,2.48,BO,1616068857
Gweta,-20.1833,25.2333,88.27,30,21,7.58,BW,1616068858
Ōhara,35.25,140.3833,55.0,82,75,2.3,JP,1616068859
Hofn,64.2539,-15.2082,46.4,93,20,3.44,IS,1616068860
Pacocha,-17.5833,-71.3333,70.05,83,94,4.47,PE,1616068861
Karīmpur,23.9667,88.6167,89.83,13,34,5.19,IN,1616068861
Uzhur,55.3036,89.8339,19.69,89,100,3.65,RU,1616068862
Mudgee,-32.5943,149.5871,64.4,77,77,10.36,AU,1616068863
Portland,45.5234,-122.6762,43.0,81,20,3.44,US,1616068378
Barkhera Kalān,28.45,79.8,94.5,9,54,10.65,IN,1616068864
Aswān,24.0934,32.907,89.28,8,0,14.45,EG,1616068865
Hirara,24.8,125.2833,69.8,94,20,6.91,JP,1616068866
Nouadhibou,20.931,-17.0347,75.2,46,0,18.41,MR,1616068866
Rembang,-6.707,111.3498,79.86,81,99,5.39,ID,1616068867
Canandaigua,42.8742,-77.288,36.0,73,100,2.57,US,1616068868
São Félix do Xingu,-6.6447,-51.995,74.3,92,97,2.15,BR,1616068639
Llangefni,53.2556,-4.3106,48.2,93,90,8.05,GB,1616068869
Montepuez,-13.1256,38.9997,78.82,86,79,5.03,MZ,1616068869
Maxixe,-23.8597,35.3472,89.6,58,20,6.91,MZ,1616068870
Owando,-0.4819,15.8999,92.19,48,73,1.25,CG,1616068871
Ardeşen,41.1911,40.9875,53.6,82,40,4.61,TR,1616068871
Cockburn Town,21.4612,-71.1419,74.55,71,34,17.05,TC,1616068784
Jishou,28.3167,109.7167,56.25,94,99,3.53,CN,1616068873
Coquimbo,-29.9533,-71.3436,53.6,87,20,4.61,CL,1616068582
Great Yarmouth,52.6083,1.7305,46.0,87,75,11.5,GB,1616068874
Fillan,63.6064,8.9696,41.0,87,75,6.91,NO,1616068874
Canutama,-6.5339,-64.3831,74.05,89,100,0.13,BR,1616068875
Terrace Bay,48.7834,-87.1,21.2,63,11,5.75,CA,1616068876
Surubim,-7.8331,-35.7547,77.0,73,75,5.75,BR,1616068877
Yārāda,17.65,83.2667,82.71,64,88,11.95,IN,1616068877
Sosnovo-Ozerskoye,52.5249,111.5418,15.21,85,100,3.22,RU,1616068878
Chuzhou,32.3219,118.2978,55.0,68,100,1.99,CN,1616068879
Boffa,10.1667,-14.0333,93.43,33,42,3.85,GN,1616068879
Pithorāgarh,29.5833,80.2167,73.29,15,62,3.22,IN,1616068880
Buriticá,6.7187,-75.9073,62.11,97,100,2.57,CO,1616068881
Mwense,-10.3845,28.698,83.08,61,92,0.96,ZM,1616068881
Abu Samrah,35.3029,37.1841,60.26,44,22,27.11,SY,1616068882
Tiruvallur,13.15,79.9167,86.0,45,40,5.75,IN,1616068883
Pisco,-13.7,-76.2167,66.2,77,90,3.44,PE,1616068883
Anadyr,64.75,177.4833,-20.0,76,0,6.71,RU,1616068644
Curaçá,-8.9903,-39.9094,80.44,60,68,13.76,BR,1616068884
Aykhal,66.0,111.5,12.38,88,100,24.87,RU,1616068607
Barra de Tecoanapa,16.5167,-98.75,70.54,78,0,3.96,MX,1616068886
Distrikt Brokopondo,4.75,-55.1667,77.65,74,60,8.01,SR,1616068886
Adrar,20.5022,-10.0711,87.17,7,0,7.7,MR,1616068887
Bukama,-9.2,25.85,87.33,61,65,1.97,CD,1616068888
Suzaka,36.65,138.3167,41.0,79,19,3.24,JP,1616068888
Sura,53.8879,45.7419,31.55,97,98,3.11,RU,1616068889
Kungurtug,50.5994,97.5228,10.22,81,99,0.87,RU,1616068890
Oranjestad,12.524,-70.027,78.8,78,20,17.27,AW,1616068862
Tamworth,52.634,-1.6959,48.2,81,40,10.36,GB,1616068633
Tiksi,71.6872,128.8694,-20.65,93,100,4.54,RU,1616068891
Zhigansk,66.7697,123.3711,-15.02,90,100,18.25,RU,1616068892
Quatre Cocos,-20.2078,57.7625,84.2,61,40,11.5,MU,1616068893
Birin,26.8865,88.0718,65.86,26,0,2.86,NP,1616068893
Darhan,49.4867,105.9228,18.41,82,88,4.72,MN,1616068770
Shubarkuduk,49.1447,56.4872,32.76,80,100,21.99,KZ,1616068894
Mauá,-23.6678,-46.4614,73.0,83,20,6.91,BR,1616068895
Geraldton,-28.7667,114.6,75.2,83,0,14.97,AU,1616068896
Makakilo City,21.3469,-158.0858,71.6,73,1,6.91,US,1616068897
Mossamedes,-15.1961,12.1522,77.63,69,58,10.56,AO,1616068897
Morant Bay,17.8815,-76.4093,77.0,61,20,13.8,JM,1616068898
Sola,-13.8833,167.55,82.08,75,94,11.77,VU,1616068899
Naze,28.3667,129.4833,65.91,87,24,3.62,JP,1616068899
Nieves,15.3274,120.9485,78.8,94,90,4.61,PH,1616068900
Banda Aceh,5.5577,95.3222,81.82,76,89,9.62,ID,1616068901
Bestöbe,52.4994,73.0975,19.62,84,93,9.66,KZ,1616068901
Vitim,59.4511,112.5578,17.83,93,100,5.77,RU,1616068902
Puerto Ayacucho,5.6639,-67.6236,75.99,78,88,6.64,VE,1616068903
Pergine Valsugana,46.065,11.238,50.0,67,40,6.91,IT,1616068903
Soure,-0.7167,-48.5233,79.95,83,99,5.37,BR,1616068904
Antibes,43.5624,7.1278,53.6,54,75,13.8,FR,1616068905
Bathsheba,13.2167,-59.5167,78.8,61,40,16.11,BB,1616068905
Aklavik,68.2191,-135.0107,-7.6,77,11,3.44,CA,1616068906
Lorengau,-2.0226,147.2712,81.59,73,88,2.37,PG,1616068907
Portugalete,43.321,-3.0206,54.0,58,40,12.66,ES,1616068907
Necochea,-38.5473,-58.7368,55.0,82,48,1.01,AR,1616068908
Kota Belud,6.351,116.4305,80.6,89,20,3.44,MY,1616068909
Touros,-5.1989,-35.4608,77.0,94,75,2.3,BR,1616068909
Victor Harbor,-35.5667,138.6167,70.0,74,0,14.05,AU,1616068910
Hot Springs,34.5037,-93.0552,44.01,70,90,10.36,US,1616068887
Humaitá,-7.5061,-63.0208,73.29,99,100,2.82,BR,1616068842
Karratha,-20.7377,116.8463,84.85,65,4,13.8,AU,1616068912
Boa Vista,2.8197,-60.6733,78.8,65,0,8.05,BR,1616068846
Avera,33.194,-82.5271,64.99,97,90,8.05,US,1616068914
